,revenue,race,industry
332,1293033,Black or African American,Total for all sectors
334,233096,Black or African American,Total for all sectors
335,193575,Black or African American,Total for all sectors
336,4844,Black or African American,Total for all sectors
345,31095090,American Indian and Alaska Native,Total for all sectors
346,1028008,American Indian and Alaska Native,Total for all sectors
347,3759477,American Indian and Alaska Native,Total for all sectors
348,3824766,American Indian and Alaska Native,Total for all sectors
349,4121644,American Indian and Alaska Native,Total for all sectors
350,5983503,American Indian and Alaska Native,Total for all sectors
351,3512089,American Indian and Alaska Native,Total for all sectors
352,4721180,American Indian and Alaska Native,Total for all sectors
353,1816925,American Indian and Alaska Native,Total for all sectors
354,2327499,American Indian and Alaska Native,Total for all sectors
355,9529444,American Indian and Alaska Native,Total for all sectors
356,20603862,American Indian and Alaska Native,Total for all sectors
357,961784,American Indian and Alaska Native,Total for all sectors
358,863324218,Asian,Total for all sectors
359,32019324,Asian,Total for all sectors
360,154725782,Asian,Total for all sectors
361,121526481,Asian,Total for all sectors
362,117968761,Asian,Total for all sectors
363,142589783,Asian,Total for all sectors
364,84333565,Asian,Total for all sectors
365,91315680,Asian,Total for all sectors
366,36680460,Asian,Total for all sectors
367,82164381,Asian,Total for all sectors
368,171448705,Asian,Total for all sectors
369,6439164,Asian,Total for all sectors
370,28021113,Asian,Total for all sectors
371,35947403,Asian,Total for all sectors
372,27557633,Asian,Total for all sectors
373,22856828,Asian,Total for all sectors
375,12498323,Asian,Total for all sectors
376,5449738,Asian,Total for all sectors
377,11611869,Asian,Total for all sectors
378,586918276,Asian,Total for all sectors
379,19163586,Asian,Total for all sectors
380,97604642,Asian,Total for all sectors
381,77215756,Asian,Total for all sectors
382,78987444,Asian,Total for all sectors
383,93309484,Asian,Total for all sectors
384,56718946,Asian,Total for all sectors
385,74909456,Asian,Total for all sectors
386,26917187,Asian,Total for all sectors
387,62091776,Asian,Total for all sectors
388,104957236,Asian,Total for all sectors
389,6416574,Asian,Total for all sectors
390,21173738,Asian,Total for all sectors
391,16753092,Asian,Total for all sectors
392,16124490,Asian,Total for all sectors
393,21259185,Asian,Total for all sectors
394,6547986,Asian,Total for all sectors
395,3907901,Asian,Total for all sectors
397,8460736,Asian,Total for all sectors
398,6179733,Asian,Total for all sectors
399,59357,Asian,Total for all sectors
400,642036,Asian,Total for all sectors
401,501449,Asian,Total for all sectors
405,198550,Asian,Total for all sectors
406,1171556,American Indian and Alaska Native,Total for all sectors
407,20435,American Indian and Alaska Native,Total for all sectors
408,183479,American Indian and Alaska Native,Total for all sectors
411,144802,American Indian and Alaska Native,Total for all sectors
412,151220,American Indian and Alaska Native,Total for all sectors
415,2598220,American Indian and Alaska Native,Total for all sectors
416,115889,American Indian and Alaska Native,Total for all sectors
417,704186,American Indian and Alaska Native,Total for all sectors
418,558235,American Indian and Alaska Native,Total for all sectors
419,735685,American Indian and Alaska Native,Total for all sectors
423,648165,American Indian and Alaska Native,Total for all sectors
424,1744477,American Indian and Alaska Native,Total for all sectors
427,360996,Native Hawaiian and Other Pacific Islander,Total for all sectors
429,9673140,Native Hawaiian and Other Pacific Islander,Total for all sectors
430,214222,Native Hawaiian and Other Pacific Islander,Total for all sectors
432,857242,Native Hawaiian and Other Pacific Islander,Total for all sectors
433,1068323,Native Hawaiian and Other Pacific Islander,Total for all sectors
437,146617,Native Hawaiian and Other Pacific Islander,Total for all sectors
440,7556398,Native Hawaiian and Other Pacific Islander,Total for all sectors
453,2987155,Asian,Total for all sectors
456,6489,Asian,Total for all sectors
462,857039100,Asian,Total for all sectors
463,31953477,Asian,Total for all sectors
464,154042105,Asian,Total for all sectors
465,121009457,Asian,Total for all sectors
466,117165328,Asian,Total for all sectors
467,140337580,Asian,Total for all sectors
468,82569181,Asian,Total for all sectors
469,91315680,Asian,Total for all sectors
470,36680460,Asian,Total for all sectors
471,81965832,Asian,Total for all sectors
472,168318727,Asian,Total for all sectors
473,583914665,Asian,Total for all sectors
475,104805708,Asian,Total for all sectors
476,11177012,Native Hawaiian and Other Pacific Islander,Total for all sectors
477,243897,Native Hawaiian and Other Pacific Islander,Total for all sectors
478,1123597,Native Hawaiian and Other Pacific Islander,Total for all sectors
